word,mean,std,n
classical,5.171,0.971,35
classify,5.2,1.238,35
clause,6.0,1.061,32
claw,3.094,1.259,32
claws,3.03,1.087,33
claymore,6.182,1.154,22
clean,2.343,1.194,35
cleaner,3.353,1.135,34
cleaner (maid),3.515,1.019,33
cleaner (more clean),3.618,1.306,34
clear,3.061,1.099,33
clergy,5.941,1.259,34
clever,2.771,1.149,35
click,3.559,1.117,34
client,5.344,1.337,32
cliff,3.343,1.194,35
climate,5.188,1.158,32
climax,5.606,1.043,33
climb,2.8,0.95,35
climber,4.029,1.382,34
cling,4.353,1.432,34
clingy,4.618,1.138,34
cloak,3.861,1.494,36
clock,2.438,1.029,32
clone,5.063,1.171,32
close,2.719,1.125,32
close (near),2.424,1.016,33
close (stairwell),4.813,1.509,32
closure,5.618,1.138,34
cloth,2.719,1.096,32
clothes,2.029,1.082,35
clothing,2.706,0.787,34
cloud,2.065,0.914,31
cloud (sky),2.059,1.083,34
cloud (spoil),5.563,1.435,32
cloudy,2.294,1.016,34
clove,4.824,1.248,34
clover,3.677,1.344,34
clown,2.455,0.874,66
club,3.857,1.334,35
club (card suit),3.912,1.442,34
club (disco),5.0,1.237,34
club (hit),4.677,1.711,31
club (organisation),3.229,1.149,35
club (tool),4.2,1.305,35
clue,2.941,1.083,34
clueless,4.471,1.036,34
clumsy,3.441,0.976,34
cluster,5.059,1.589,34
clutch,5.029,1.253,35
clutch (bag),5.657,1.393,35
clutch (car),5.8,1.41,35
clutch (grab),4.8,1.327,35
clutter,4.424,1.256,33
coach,3.657,0.893,35
coach (bus),3.743,1.537,35
coach (trainer),4.314,1.368,35
coarse,4.697,1.218,33
coast,3.783,1.317,69
coast (beach),3.606,1.153,33
coast (glide),5.406,1.027,32
coaster,4.0,1.372,34
coat,2.0,0.779,33
coat (cover),3.229,1.551,35
coat (jacket),2.441,0.881,34
cobble,4.333,1.318,33
cock,5.227,1.65,66
cock (bird),4.571,1.678,35
cock (dick),6.286,0.848,35
cock (tilt),5.471,1.398,34
cockerel,3.844,1.583,32
cockney,5.697,1.467,33
cockroach,4.313,1.074,32
cocktail,6.114,0.919,35
cod,3.886,1.368,35
code,3.774,1.007,31
coerce,6.467,0.806,30
coffee,3.588,1.088,34
coffin,3.743,1.155,35
coin,2.2,0.821,35
coke,3.265,1.066,34
coke (coal),5.788,1.552,33
coke (cocaine),6.147,1.033,34
coke (cola),2.853,0.912,34
cola,3.171,1.404,35
cold,1.829,0.774,35
cold (illness),2.324,0.962,34
cold (temperature),1.909,1.19,33
collage,4.8,1.489,35
collar,3.419,1.101,31
